,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
1239,CHEMBL272217,NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3cccc(OCCc4ccncc4)c23)cc1,IC50,2110801,=,21,nM,8,B,CHEMBL952109,2,NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3cccc(OCCc4ccncc4)c32)cc1,CHEMBL272217,7.67778070527
1240,CHEMBL432491,NS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]cc4C(=O)OCCc34)\c2c1,IC50,477355,=,12,nM,8,B,CHEMBL660704,2,NS(=O)(=O)c1ccc2c(c1)C(=Cc1[nH]cc3c1CCOC3=O)C(=O)N2,CHEMBL432491,7.92081875395
1241,CHEMBL417228,COc1ccc2NC(=O)\C(=C/c3[nH]cc4C(=O)NCCc34)\c2c1,IC50,500036,=,250,nM,8,B,CHEMBL660704,2,COc1ccc2c(c1)C(=Cc1[nH]cc3c1CCNC3=O)C(=O)N2,CHEMBL417228,6.60205999133
1242,CHEMBL404097,COC1=C[C@]23CCN(C)[C@H](Cc4ccc(OC)c(O)c24)C3=CC1=O,IC50,3091541,>,50000,nM,8,B,CHEMBL1067148,2,COC1=CC23CCN(C)C(Cc4ccc(OC)c(O)c42)C3=CC1=O,CHEMBL404097,4.30102999566
1243,CHEMBL1082017,N[C@H](CNc1ncc(s1)c2ccc3NC(=O)CCc3c2)Cc4ccc(cc4)C(F)(F)F,IC50,3196218,>,25000,nM,8,B,CHEMBL1102923,2,NC(CNc1ncc(-c2ccc3c(c2)CCC(=O)N3)s1)Cc1ccc(C(F)(F)F)cc1,CHEMBL1082017,4.60205999133
1244,CHEMBL57639,Brc1ccc2NC(=O)\C(=C/c3[nH]cc4C(=O)NCCc34)\c2c1,IC50,506109,=,530,nM,8,B,CHEMBL660704,2,O=C1Nc2ccc(Br)cc2C1=Cc1[nH]cc2c1CCNC2=O,CHEMBL57639,6.2757241304
1245,CHEMBL103104,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c3cccc(O)c3)cc1,IC50,832577,=,9.1,nM,8,B,CHEMBL661129,2,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(O)c3)n[nH]2)cc1,CHEMBL103104,8.04095860768
1246,CHEMBL415789,CSc1ccc(CC(=O)Nc2n[nH]c3ccc(cc23)N4CCCS4(=O)=O)cc1,IC50,2082447,=,10,nM,8,B,CHEMBL929003,2,CSc1ccc(CC(=O)Nc2n[nH]c3ccc(N4CCCS4(=O)=O)cc23)cc1,CHEMBL415789,8
1247,CHEMBL2426388,Fc1ccc(NC(=S)NC(=O)c2cn(nc2c3ccc(Cl)cc3)c4ccccc4)cc1,IC50,13446113,=,59,nM,9,B,CHEMBL2427325,2,O=C(NC(=S)Nc1ccc(F)cc1)c1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1,CHEMBL2426388,7.22914798836
1248,CHEMBL2158858,CNC(=O)Nc1ccc(cc1)c2cc(ccn2)c3ccnc(Nc4cccc(c4)S(=O)(=O)N)n3,IC50,12076753,=,23,nM,8,B,CHEMBL2161547,2,CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)ccn2)cc1,CHEMBL2158858,7.63827216398
1249,CHEMBL1823639,Clc1cccc(c1)C(NC(=O)c2ccc3cnccc3c2)C4CCNCC4,IC50,6340549,>,25000,nM,8,B,CHEMBL1825377,2,O=C(NC(c1cccc(Cl)c1)C1CCNCC1)c1ccc2cnccc2c1,CHEMBL1823639,4.60205999133
1250,CHEMBL1738710,Cc1ccc(cc1N2C=NC(=C(Cl)C2=O)OCc3ccc(F)cc3F)C(=O)NCCO,IC50,6262751,>,10000,nM,8,B,CHEMBL1798620,2,Cc1ccc(C(=O)NCCO)cc1-n1cnc(OCc2ccc(F)cc2F)c(Cl)c1=O,CHEMBL1738710,5
1251,CHEMBL2163993,CCc1c(N[C@@H]2CC[C@@H](N)CC2)nc3ccnn3c1Nc4ccc(F)c(Cl)c4,IC50,12094452,=,3600,nM,8,B,CHEMBL2166172,2,CCc1c(NC2CCC(N)CC2)nc2ccnn2c1Nc1ccc(F)c(Cl)c1,CHEMBL2163993,5.44369749923
1252,CHEMBL2035056,COCCOc1ccc2Nc3nccc(n3)c4oc(COC\C=C\CN(C)Cc1c2)cc4,IC50,10910526,=,8600,nM,8,B,CHEMBL2039967,2,COCCOc1ccc2cc1CN(C)CC=CCOCc1ccc(o1)-c1ccnc(n1)N2,CHEMBL2035056,5.06550154876
1253,CHEMBL480391,CN1CCN(CC1)c2cccc3nc([nH]c23)c4n[nH]c5cc(ccc45)c6ccc(N)cc6,IC50,2506874,=,1040,nM,9,B,CHEMBL942590,2,CN1CCN(c2cccc3nc(-c4n[nH]c5cc(-c6ccc(N)cc6)ccc45)[nH]c23)CC1,CHEMBL480391,5.9829666607
1254,CHEMBL2011931,COc1ccc(cc1)c2nc3c(NCCCNC(=O)C4CC4)c(Br)cnc3[nH]2,IC50,10834754,=,1370,nM,8,B,CHEMBL2013356,2,COc1ccc(-c2nc3c(NCCCNC(=O)C4CC4)c(Br)cnc3[nH]2)cc1,CHEMBL2011931,5.86327943284
1255,CHEMBL550964,CNC(=O)c1nn(C)c2c3nc(Nc4cccc(CN(C)C)c4)ncc3CC(C)(C)c12,IC50,2661280,=,83,nM,8,B,CHEMBL1063936,2,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3cccc(CN(C)C)c3)nc1-2,CHEMBL550964,7.08092190762
1256,CHEMBL3360318,COc1ccc(cc1)c2cccc3nc(NC(=O)C4CC4)nn23,IC50,15112148,>,10000,nM,9,B,CHEMBL3388160,2,COc1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,CHEMBL3360318,5
1257,CHEMBL3298678,OC[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c4ccc(Cl)c(F)c4,IC50,15014025,=,10,nM,9,B,CHEMBL3364483,2,O=C(NC(CO)c1ccc(Cl)c(F)c1)N1CCc2cnc(NC3CCOCC3)nc2C1,CHEMBL3298678,8
1258,CHEMBL257624,[O-][N+](=O)c1ccc2[nH]nc(NC(=O)Cc3ccccc3)c2c1,IC50,2082441,=,2000,nM,8,B,CHEMBL929003,2,O=C(Cc1ccccc1)Nc1n[nH]c2ccc([N+](=O)[O-])cc12,CHEMBL257624,5.69897000434
1259,CHEMBL1080911,Cc1n[nH]c2ccc(cc12)c3nnc(NC[C@@H](N)Cc4ccc(cc4)C(F)(F)F)s3,IC50,3193166,=,17,nM,8,B,CHEMBL1104220,2,Cc1n[nH]c2ccc(-c3nnc(NCC(N)Cc4ccc(C(F)(F)F)cc4)s3)cc12,CHEMBL1080911,7.76955107862
1260,CHEMBL186952,Nc1nc2ccc(cn2c1C(=O)c3cccs3)C(=O)c4c(F)cccc4F,IC50,1463630,=,547,nM,8,B,CHEMBL832429,2,Nc1nc2ccc(C(=O)c3c(F)cccc3F)cn2c1C(=O)c1cccs1,CHEMBL186952,6.26201267367
1261,CHEMBL1823658,Clc1ccc(cc1Cl)C(NC(=O)c2ccc3cnccc3c2)c4cncnc4,IC50,6340561,>,25000,nM,8,B,CHEMBL1825377,2,O=C(NC(c1cncnc1)c1ccc(Cl)c(Cl)c1)c1ccc2cnccc2c1,CHEMBL1823658,4.60205999133
1262,CHEMBL561136,Cc1ccc2N(CCc2c1)C(=O)C(=O)c3c[nH]c4ccccc34,IC50,2702939,=,910000,nM,9,B,CHEMBL1051861,2,Cc1ccc2c(c1)CCN2C(=O)C(=O)c1c[nH]c2ccccc12,CHEMBL561136,3.04095860768
1263,CHEMBL408210,CCOC(=O)c1cccc2NC(=O)\C(=C/Nc3ccc(cc3)S(=O)(=O)N)\c12,IC50,1160477,=,8.9,nM,8,B,CHEMBL661125,2,CCOC(=O)c1cccc2c1C(=CNc1ccc(S(N)(=O)=O)cc1)C(=O)N2,CHEMBL408210,8.05060999336
1264,CHEMBL3352835,COC1CCN(CC1)c2nccc(Nc3cc(NC(=O)c4c(Cl)cccc4Cl)ccn3)n2,IC50,15135640,=,503,nM,9,B,CHEMBL3375808,2,COC1CCN(c2nccc(Nc3cc(NC(=O)c4c(Cl)cccc4Cl)ccn3)n2)CC1,CHEMBL3352835,6.29843201494
1265,CHEMBL3298823,Fc1cccc(CNC(=O)CC2CNC(=O)c3cc(cn23)c4cn[nH]c4)c1,IC50,14751942,=,60,nM,9,B,CHEMBL3300811,2,O=C(CC1CNC(=O)c2cc(-c3cn[nH]c3)cn21)NCc1cccc(F)c1,CHEMBL3298823,7.22184874962
1266,CHEMBL3218001,Nc1ccccc1NC(=O)\C=C\c2ccn(c2)S(=O)(=O)c3ccc4ncnc(Nc5cccc(c5)C#C)c4c3,IC50,14543420,=,17000,nM,9,B,CHEMBL3226018,2,C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)Nc5ccccc5N)c4)cc23)c1,CHEMBL3218001,4.76955107862
1267,CHEMBL2348165,Nc1nccc(n1)n2ccc3ncccc23,IC50,12726650,=,21000,nM,9,B,CHEMBL2353290,2,Nc1nccc(-n2ccc3ncccc32)n1,CHEMBL2348165,4.67778070527
1268,CHEMBL300389,OCCCNc1cc(ccn1)c2ccnc(Nc3cccc(Cl)c3)n2,IC50,12075991,<,5.2,nM,8,B,CHEMBL2161547,2,OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1,CHEMBL300389,8.28399665637
1269,CHEMBL2204532,CN(c1ccc(F)c(NC(=O)c2cccc(OC(C)(C)C#N)c2Cl)c1)c3ccc4nc(NC(=O)C5CC5)sc4n3,IC50,12175183,>,10000,nM,8,B,CHEMBL2210709,2,CN(c1ccc(F)c(NC(=O)c2cccc(OC(C)(C)C#N)c2Cl)c1)c1ccc2nc(NC(=O)C3CC3)sc2n1,CHEMBL2204532,5
1270,CHEMBL2163605,CCc1c(N[C@@H]2CC[C@@H](N)CC2)nc3ccnn3c1Nc4ccccc4Cl,IC50,12094437,>,300000,nM,8,B,CHEMBL2166172,2,CCc1c(NC2CCC(N)CC2)nc2ccnn2c1Nc1ccccc1Cl,CHEMBL2163605,3.52287874528
1271,CHEMBL573108,CC(C)(C(=O)N)C(=O)NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1Br,IC50,7986270,=,1500,nM,8,B,CHEMBL1937384,2,CC(C)(C(N)=O)C(=O)NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1Br,CHEMBL573108,5.82390874094
1272,CHEMBL1823636,Fc1ccc(cc1F)C(NC(=O)c2ccc3cnccc3c2)C4CCNCC4,IC50,6340546,>,25000,nM,8,B,CHEMBL1825377,2,O=C(NC(c1ccc(F)c(F)c1)C1CCNCC1)c1ccc2cnccc2c1,CHEMBL1823636,4.60205999133
