,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
131,CHEMBL568483,Cc1cc(Cl)ccc1Nc2ncc(C)c(n2)c3c[nH]c(c3)C(=O)N[C@H](CO)c4cccc(Cl)c4,Ki,2939216,=,410,nM,8,B,CHEMBL1044907,0,Cc1cc(Cl)ccc1Nc1ncc(C)c(-c2c[nH]c(C(=O)NC(CO)c3cccc(Cl)c3)c2)n1,CHEMBL568483,6.08618614762
132,CHEMBL570111,Cc1cnc(Nc2cccc3CCCCc23)nc1c4c[nH]c(c4)C(=O)N[C@H](CO)c5cccc(Cl)c5,Ki,2939221,=,280,nM,8,B,CHEMBL1044907,0,Cc1cnc(Nc2cccc3c2CCCC3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,CHEMBL570111,6.25181197299
133,CHEMBL3594174,CN(Cc1ccc2[nH]cnc2c1Cl)c3nccc(Nc4cc([nH]n4)[C@@H]5CCN(C)C5=O)n3,Ki,15651914,>,5400,nM,9,B,CHEMBL3595328,0,CN1CCC(c2cc(Nc3ccnc(N(C)Cc4ccc5[nH]cnc5c4Cl)n3)n[nH]2)C1=O,CHEMBL3594174,4.96657624451
134,CHEMBL387385,OC[C@@H](NC(=O)c1cc(c[nH]1)c2n[nH]cc2c3cccc(Cl)c3)c4ccc(F)c(Cl)c4,Ki,1820466,>,4000,nM,9,B,CHEMBL917088,0,O=C(NC(CO)c1ccc(F)c(Cl)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1,CHEMBL387385,5.09691001301
135,CHEMBL3298289,CC1(C)CCc2[nH]nc(C(=O)Nc3cnn(Cc4ccccc4)c3)c2C1,Ki,15005998,=,1700,nM,9,B,CHEMBL3380550,0,CC1(C)CCc2[nH]nc(C(=O)Nc3cnn(Cc4ccccc4)c3)c2C1,CHEMBL3298289,5.46852108296
136,CHEMBL1290072,COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1,Ki,3590780,>,1000000,nM,9,B,CHEMBL1292143,0,COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1,CHEMBL1290072,2.69897000434
137,CHEMBL415049,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,Ki,13343479,=,1368,nM,9,B,CHEMBL2396196,0,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,CHEMBL415049,5.56288390695
138,CHEMBL565459,Cc1cnc(Nc2ccccc2)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,Ki,2938295,=,15,nM,8,B,CHEMBL1044907,0,Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1,CHEMBL565459,7.52287874528
139,CHEMBL263067,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN5CCC(CO)CC5,Ki,1790455,=,410,nM,9,B,CHEMBL856402,0,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,CHEMBL263067,6.08618614762
140,CHEMBL3594182,CN(C[C@@H]1CC[C@@H](N)CC1)c2nccc(Nc3cc([nH]n3)C4C(=O)N(C)CC4(C)C)n2,Ki,15651922,>,5400,nM,9,B,CHEMBL3595328,0,CN1CC(C)(C)C(c2cc(Nc3ccnc(N(C)CC4CCC(N)CC4)n3)n[nH]2)C1=O,CHEMBL3594182,4.96657624451
141,CHEMBL210618,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,Ki,1722966,>,6900,nM,9,B,CHEMBL860192,0,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,CHEMBL210618,4.8601209136
