,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
15181,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905
15182,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]OC,CHEMBL3685259,[*]c1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.43179827593
15183,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]SC(F)(F)F,CHEMBL3670474,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.40893539297
15184,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]OC,CHEMBL3670467,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.5376020021
15185,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]N1CCCCC1=O,CHEMBL3680584,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,8.82390874094
15186,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]NC,CHEMBL3685238,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8
15187,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]C(F)(F)F,CHEMBL3685309,[*]c1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.65757731918
15188,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]N(C)C,CHEMBL3670470,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.95860731484
15189,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]N1CCOCC1,CHEMBL3680590,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.7447274949
15190,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]CO,CHEMBL3680571,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.08092190762
15191,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]c1ncc[nH]1,CHEMBL3680556,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.5376020021
15192,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]C(F)(F)F,CHEMBL3670451,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,5.92081875395
15193,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395
15194,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862
15195,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]OC,CHEMBL3685259,[*]c1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.43179827593
15196,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]SC(F)(F)F,CHEMBL3670474,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.40893539297
15197,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]OC,CHEMBL3670467,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.5376020021
15198,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]N1CCCCC1=O,CHEMBL3680584,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,8.82390874094
15199,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]NC,CHEMBL3685238,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8
15200,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]C(F)(F)F,CHEMBL3685309,[*]c1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.65757731918
15201,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]N(C)C,CHEMBL3670470,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.95860731484
15202,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]N1CCOCC1,CHEMBL3680590,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.7447274949
15203,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]CO,CHEMBL3680571,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.08092190762
15204,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]c1ncc[nH]1,CHEMBL3680556,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.5376020021
15205,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905,[*]C(F)(F)F,CHEMBL3670451,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,5.92081875395
15206,[*]OC,CHEMBL3685259,[*]c1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.43179827593,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357
15207,[*]OC,CHEMBL3685259,[*]c1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.43179827593,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395
15208,[*]OC,CHEMBL3685259,[*]c1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.43179827593,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862
